45.456456,-73.576189,106,0.00,0.07,25,
45.456456,-73.576189,106,0.00,0.07,53,
45.456456,-73.576189,106,0.00,0.07,86,
45.456456,-73.576189,111,0.00,0.07,120,
45.456456,-73.576189,111,0.00,0.07,154,
45.456456,-73.576189,111,0.00,0.07,187,
45.456456,-73.576189,111,0.00,0.07,222,
45.456456,-73.576189,111,0.00,0.07,254,
45.456456,-73.576189,111,0.00,0.07,287,
45.456456,-73.576189,111,0.00,0.07,323,
45.456456,-73.576189,111,0.00,0.07,356,
45.456456,-73.576189,114,0.00,0.07,388,
45.456456,-73.576189,114,0.00,0.07,421,
45.456456,-73.576189,114,0.00,0.07,455,
45.456456,-73.576189,114,0.00,0.07,487,
45.456456,-73.576189,114,0.00,0.07,521,
45.456456,-73.576189,114,0.00,0.07,556,
45.456456,-73.576189,114,0.00,0.07,588,
45.456456,-73.576189,114,0.00,0.07,620,
45.456456,-73.576189,117,0.00,0.07,655,
45.456456,-73.576189,117,0.00,0.07,687,
45.456456,-73.576189,117,0.00,0.07,723,
45.456456,-73.576189,117,0.00,0.07,755,
45.456456,-73.576189,117,0.00,0.07,789,
45.456456,-73.576189,117,0.00,0.07,821,
45.456456,-73.576189,117,0.00,0.07,854,
45.456456,-73.576189,117,0.00,0.07,887,
45.456456,-73.576189,117,0.00,0.07,921,
45.456456,-73.576189,117,0.00,0.07,955,
45.456456,-73.576189,117,0.00,0.07,987,
45.456456,-73.576189,117,0.00,0.07,1022,
45.456456,-73.576189,117,0.00,0.07,1055,
45.456456,-73.576189,119,0.00,0.07,1087,
45.456456,-73.576189,119,0.00,0.07,1124,
45.456456,-73.576189,119,0.00,0.07,1155,
45.456456,-73.576189,119,0.00,0.07,1188,
45.456456,-73.576189,119,0.00,0.07,1221,
45.456456,-73.576189,119,0.00,0.07,1256,
45.456456,-73.576189,119,0.00,0.07,1288,
45.456456,-73.576189,121,0.00,0.07,1320,
45.456456,-73.576189,121,0.00,0.07,1354,
45.456456,-73.576189,121,0.00,0.07,1387,
45.456456,-73.576189,121,0.00,0.07,1420,
45.456456,-73.576189,121,0.00,0.07,1454,
45.456456,-73.576189,121,0.00,0.07,1488,
45.456456,-73.576189,121,0.00,0.07,1521,
45.456456,-73.576189,121,0.00,0.07,1554,
45.456456,-73.576189,123,0.00,0.07,1589,
45.456456,-73.576189,123,0.00,0.07,1622,
45.456456,-73.576189,123,0.00,0.07,1655,
45.456456,-73.576189,123,0.00,0.07,1689,
45.456456,-73.576189,123,0.00,0.07,1721,
45.456456,-73.576189,123,0.00,0.07,1755,
45.456456,-73.576189,123,0.00,0.07,1787,
45.456456,-73.576189,123,0.00,0.07,1822,
45.456456,-73.576189,125,0.00,0.07,1855,
45.456456,-73.576189,125,0.00,0.07,1888,
45.456456,-73.576189,125,0.00,0.07,1923,
45.456456,-73.576189,125,0.00,0.07,1954,
45.456456,-73.576189,125,0.00,0.07,1987,
45.456456,-73.576189,125,0.00,0.07,2023,
45.456456,-73.576189,125,0.00,0.07,2054,
45.456456,-73.576189,125,0.00,0.07,2088,
45.456456,-73.576189,125,0.00,0.07,2120,
45.456456,-73.576189,126,0.00,0.07,2154,
45.456456,-73.576189,128,0.00,0.07,2188,
45.456456,-73.576189,129,0.00,0.07,2221,
45.456456,-73.576189,130,0.00,0.07,2254,
45.456456,-73.576189,130,0.00,0.07,2288,
45.456456,-73.576189,130,0.00,0.07,2320,
45.458180,-73.579445,130,0.00,0.39,2356,
45.458180,-73.579445,130,0.00,0.39,2389,
45.458180,-73.579445,130,0.00,0.39,2421,
45.458180,-73.579445,129,0.00,0.39,2454,
45.458180,-73.579445,126,0.00,0.39,2489,
45.458180,-73.579445,124,0.00,0.39,2520,
45.458180,-73.579445,119,0.00,0.39,2554,
45.458180,-73.579445,114,0.00,0.39,2588,
45.458180,-73.579445,110,0.00,0.39,2621,
45.458180,-73.579445,102,0.00,0.39,2654,
45.458180,-73.579445,98,0.00,0.39,2688,
45.458180,-73.579445,93,0.00,0.39,2722,
45.458180,-73.579445,36,0.00,0.39,2757,
45.458180,-73.579445,25,0.00,0.39,2790,
45.458180,-73.579445,10,0.00,0.39,2824,
45.458180,-73.579445,0,0.00,0.39,2854,
45.458180,-73.579445,339,0.00,0.39,2888,
45.458180,-73.579445,330,0.00,0.39,2920,
45.458180,-73.579445,330,0.00,0.39,2954,
45.458180,-73.579445,315,0.00,0.39,2988,
45.458180,-73.579445,312,0.00,0.39,3021,
45.458180,-73.579445,310,0.00,0.39,3056,
45.458180,-73.579445,306,0.00,0.39,3088,
45.458180,-73.579445,304,0.00,0.39,3121,
45.458180,-73.579445,300,0.00,0.39,3156,
45.458180,-73.579445,295,0.00,0.39,3190,
45.458180,-73.579445,292,0.00,0.39,3222,
45.458180,-73.579445,290,0.00,0.39,3255,
45.458180,-73.579445,288,0.00,0.39,3289,
45.458180,-73.579445,286,0.00,0.39,3321,
45.458180,-73.579445,285,0.00,0.39,3354,
45.458180,-73.579445,281,0.00,0.39,3388,
45.458180,-73.579445,264,0.00,0.39,3420,
45.458180,-73.579445,255,0.00,0.39,3454,
45.458180,-73.579445,244,0.00,0.39,3490,
45.458180,-73.579445,232,0.00,0.39,3521,
45.458180,-73.579445,232,0.00,0.39,3553,
45.458180,-73.579445,215,0.00,0.39,3592,
45.458180,-73.579445,212,0.00,0.39,3622,
45.458180,-73.579445,207,0.00,0.39,3655,
45.458180,-73.579445,205,0.00,0.39,3688,
45.458180,-73.579445,203,0.00,0.39,3722,
45.458180,-73.579445,201,0.00,0.39,3755,
